Commands,Model Parameters,,,,,,,Reflectivity Data from Air,,,Model,Tiles,,,,,Profile,,,Incoherent Sum,,,ctrl-s,χ2,,,,,,,,,,
ctrl-l : Load,Compound,Nb (Å-2),μlabs/l [Å-2],μlinc [Å-1],d (Å),σfwhm (Å),ωdPS,Q (Å-1),R,dR,Rmodel,nrough,Nb (Å-2),mlabs/l [Å-2],mlinc [Å-1],d (Å),z (Å),Nb (Å-2),,R(1 – δd/d),R(1 ),R(1 + δd/d),Sum,29.6,,,,,,,,,,
,,,,,,,,,,,,,4.35E-06,0.00E+00,0.00E+00,1.81,442.00,3.14E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4.21E-06,0.00E+00,0.00E+00,1.81,442.00,3.13E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4.06E-06,0.00E+00,0.00E+00,1.81,443.81,3.13E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3.89E-06,0.00E+00,0.00E+00,1.81,443.81,3.12E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3.71E-06,0.00E+00,0.00E+00,1.81,445.62,3.12E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3.52E-06,0.00E+00,0.00E+00,1.81,445.62,3.12E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3.33E-06,0.00E+00,0.00E+00,1.81,447.43,3.12E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3.18E-06,0.00E+00,0.00E+00,0.90,447.43,3.12E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3.09E-06,0.00E+00,0.00E+00,0.76,449.24,3.12E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.97E-06,0.00E+00,0.00E+00,1.52,449.24,3.12E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.81E-06,0.00E+00,0.00E+00,1.52,451.04,3.12E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.65E-06,0.00E+00,0.00E+00,1.52,451.04,3.12E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.49E-06,0.00E+00,0.00E+00,1.52,452.85,3.12E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.35E-06,0.00E+00,0.00E+00,1.52,452.85,3.13E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.21E-06,0.00E+00,0.00E+00,1.52,454.66,3.13E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.08E-06,0.00E+00,0.00E+00,1.52,454.66,3.14E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.96E-06,0.00E+00,0.00E+00,1.52,456.47,3.14E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.85E-06,0.00E+00,0.00E+00,1.52,456.47,3.15E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.75E-06,0.00E+00,0.00E+00,1.52,458.28,3.15E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.66E-06,0.00E+00,0.00E+00,1.52,458.28,3.17E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.58E-06,0.00E+00,0.00E+00,1.52,460.09,3.17E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.52E-06,0.00E+00,4.16E-20,1.52,460.09,3.19E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.46E-06,0.00E+00,3.88E-18,1.52,461.90,3.19E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.41E-06,0.00E+00,2.18E-16,1.52,461.90,3.21E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.37E-06,0.00E+00,7.40E-15,1.52,463.71,3.21E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.33E-06,0.00E+00,1.53E-13,1.52,463.71,3.24E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.31E-06,0.00E+00,1.93E-12,1.52,465.52,3.24E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.31E-06,1.71E-22,1.50E-11,1.52,465.52,3.27E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.41E-06,1.97E-20,7.35E-11,1.52,467.33,3.27E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.72E-06,1.38E-18,2.32E-10,1.52,467.33,3.30E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.09E-06,2.42E-17,4.23E-10,0.76,469.14,3.30E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.24E-06,7.67E-17,5.15E-10,0.23,469.14,3.34E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.37E-06,1.65E-16,5.78E-10,0.45,470.95,3.34E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.53E-06,4.42E-16,6.58E-10,0.45,470.95,3.38E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.68E-06,1.13E-15,7.32E-10,0.45,472.76,3.38E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.81E-06,2.77E-15,7.96E-10,0.45,472.76,3.42E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.92E-06,6.50E-15,8.49E-10,0.45,474.57,3.42E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3.00E-06,1.46E-14,8.90E-10,0.45,474.57,3.46E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3.07E-06,3.14E-14,9.22E-10,0.45,476.38,3.46E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3.11E-06,6.48E-14,9.44E-10,0.45,476.38,3.50E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3.15E-06,1.28E-13,9.59E-10,0.45,478.19,3.50E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3.16E-06,2.42E-13,9.67E-10,0.45,478.19,3.53E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3.17E-06,4.40E-13,9.69E-10,0.45,479.09,3.53E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3.17E-06,7.67E-13,9.66E-10,0.45,479.09,3.55E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3.16E-06,1.28E-12,9.58E-10,0.45,480.00,3.55E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3.15E-06,2.06E-12,9.43E-10,0.45,480.00,3.58E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3.12E-06,3.18E-12,9.20E-10,0.45,481.81,3.58E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3.09E-06,4.73E-12,8.89E-10,0.45,481.81,3.62E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3.04E-06,6.76E-12,8.47E-10,0.45,483.62,3.62E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.98E-06,9.31E-12,7.94E-10,0.45,483.62,3.66E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.91E-06,1.24E-11,7.30E-10,0.45,485.43,3.66E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.82E-06,1.59E-11,6.58E-10,0.45,485.43,3.69E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.73E-06,1.97E-11,5.78E-10,0.45,487.23,3.69E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.66E-06,2.27E-11,5.16E-10,0.23,487.23,3.72E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.61E-06,2.50E-11,4.69E-10,0.27,489.04,3.72E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.55E-06,2.74E-11,4.19E-10,0.28,489.04,3.75E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.49E-06,2.98E-11,3.68E-10,0.29,490.85,3.75E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.43E-06,3.23E-11,3.18E-10,0.31,490.85,3.77E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.37E-06,3.47E-11,2.67E-10,0.33,492.66,3.77E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.32E-06,3.71E-11,2.17E-10,0.37,492.66,3.79E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.26E-06,3.95E-11,1.68E-10,0.43,494.47,3.79E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.21E-06,4.18E-11,1.20E-10,0.52,494.47,3.79E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.15E-06,4.40E-11,7.41E-11,0.71,496.28,3.79E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.11E-06,4.60E-11,3.37E-11,1.28,496.28,3.79E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.07E-06,4.73E-11,5.85E-12,1.72,498.09,3.79E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.07E-06,4.75E-11,2.00E-12,100.00,498.09,3.79E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,499.90,3.79E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,499.90,3.77E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,501.71,3.77E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,501.71,3.74E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,503.52,3.74E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,503.52,3.70E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,505.33,3.70E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,505.33,3.66E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,507.14,3.66E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,507.14,3.60E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,508.95,3.60E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,508.95,3.54E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,510.76,3.54E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,510.76,3.47E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,512.57,3.47E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,512.57,3.39E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,514.38,3.39E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,514.38,3.30E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,516.19,3.30E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,516.19,3.22E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,518.00,3.22E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,518.00,3.15E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,518.90,3.15E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,518.90,3.12E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,519.66,3.12E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,519.66,3.06E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,521.18,3.06E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,521.18,2.98E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,522.70,2.98E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,522.70,2.91E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,524.22,2.91E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,524.22,2.84E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,525.73,2.84E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,525.73,2.77E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,527.25,2.77E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,527.25,2.70E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,528.77,2.70E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,528.77,2.64E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,530.29,2.64E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,530.29,2.59E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,531.81,2.59E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,531.81,2.54E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,533.33,2.54E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,533.33,2.50E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,534.84,2.50E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,534.84,2.46E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,536.36,2.46E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,536.36,2.43E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,537.88,2.43E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,537.88,2.40E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,539.40,2.40E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,539.40,2.38E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,540.92,2.38E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,540.92,2.37E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,542.44,2.37E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,542.44,2.35E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,543.96,2.35E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,543.96,2.35E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,545.47,2.35E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,545.47,2.34E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,546.99,2.34E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,546.99,2.34E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,548.51,2.34E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,548.51,2.34E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,550.03,2.34E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,550.03,2.35E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,551.55,2.35E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,551.55,2.35E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,552.31,2.35E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,552.31,2.35E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,553.07,2.35E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,553.07,2.36E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,554.58,2.36E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,554.58,2.38E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,556.10,2.38E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,556.10,2.39E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,557.62,2.39E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,557.62,2.41E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,559.14,2.41E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,559.14,2.43E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,560.66,2.43E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,560.66,2.45E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,562.18,2.45E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,562.18,2.47E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,563.70,2.47E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,563.70,2.50E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,565.21,2.50E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,565.21,2.53E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,566.73,2.53E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,566.73,2.55E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,568.25,2.55E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,568.25,2.59E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,569.77,2.59E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,569.77,2.62E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,571.29,2.62E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,571.29,2.66E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,572.81,2.66E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,572.81,2.70E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,574.32,2.70E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,574.32,2.75E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,575.84,2.75E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,575.84,2.80E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,577.36,2.80E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,577.36,2.85E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,578.88,2.85E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,578.88,2.90E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,580.40,2.90E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,580.40,2.96E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,581.92,2.96E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,581.92,3.02E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,583.44,3.02E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,583.44,3.07E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,584.95,3.07E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,584.95,3.12E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,585.71,3.12E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,585.71,3.15E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,586.62,3.15E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,586.62,3.20E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,588.43,3.20E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,588.43,3.27E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,590.24,3.27E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,590.24,3.34E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,592.05,3.34E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,592.05,3.40E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,593.86,3.40E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,593.86,3.46E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,595.67,3.46E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,595.67,3.51E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,597.47,3.51E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,597.47,3.56E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,599.28,3.56E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,599.28,3.61E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,601.09,3.61E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,601.09,3.65E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,602.90,3.65E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,602.90,3.68E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,604.71,3.68E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,604.71,3.71E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,606.52,3.71E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,606.52,3.73E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,608.33,3.73E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,608.33,3.75E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,610.14,3.75E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,610.14,3.77E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,611.95,3.77E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,611.95,3.78E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,613.76,3.78E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,613.76,3.79E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,615.57,3.79E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,615.57,3.80E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,617.38,3.80E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,617.38,3.81E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,619.19,3.81E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,619.19,3.81E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,621.00,3.81E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,621.00,3.82E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,622.81,3.82E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,622.81,3.82E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,624.62,3.82E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,624.62,3.82E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,625.52,3.82E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,625.52,3.82E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,626.43,3.82E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,626.43,3.82E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,628.24,3.82E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,628.24,3.82E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,630.05,3.82E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,630.05,3.82E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,631.86,3.82E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,631.86,3.82E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,633.67,3.82E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,633.67,3.81E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,635.47,3.81E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,635.47,3.80E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,637.28,3.80E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,637.28,3.80E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,639.09,3.80E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,639.09,3.78E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,640.90,3.78E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,640.90,3.77E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,642.71,3.77E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,642.71,3.75E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,644.52,3.75E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,644.52,3.72E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,646.33,3.72E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,646.33,3.69E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,648.14,3.69E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,648.14,3.66E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,649.95,3.66E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,649.95,3.62E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,651.76,3.62E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,651.76,3.58E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,653.57,3.58E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,653.57,3.53E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,655.38,3.53E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,655.38,3.47E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,657.19,3.47E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,657.19,3.41E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,659.00,3.41E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,659.00,3.34E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,660.81,3.34E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,660.81,3.28E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,662.62,3.28E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,662.62,3.21E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,664.43,3.21E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,664.43,3.15E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,665.33,3.15E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,665.33,3.11E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,666.09,3.11E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,666.09,3.06E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,667.61,3.06E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,667.61,2.99E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,669.13,2.99E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,669.13,2.93E-06,,,,,,,,,,,,,,,,
